"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","cell line:ch1","days after doxycycline treatment:ch1","genotype/variation:ch1","passage:ch1"
"GSM4658445","iCMV-Vector - 1","GSM4658445","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","iCMV-Vector","Homo sapiens","cell line: IMR90","genotype/variation: iCMV-Vector","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658445/suppl/GSM4658445_1_JG_1.CEL.gz","53617","IMR90","7","iCMV-Vector","p12"
"GSM4658446","iCMV-Vector - 2","GSM4658446","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","iCMV-Vector","Homo sapiens","cell line: IMR90","genotype/variation: iCMV-Vector","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658446/suppl/GSM4658446_2_JG_2.CEL.gz","53617","IMR90","7","iCMV-Vector","p12"
"GSM4658447","iCMV-Vector - 3","GSM4658447","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","iCMV-Vector","Homo sapiens","cell line: IMR90","genotype/variation: iCMV-Vector","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658447/suppl/GSM4658447_3_JG_3.CEL.gz","53617","IMR90","7","iCMV-Vector","p12"
"GSM4658448","ICMV-TRF2 - 1","GSM4658448","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","ICMV-TRF2","Homo sapiens","cell line: IMR90","genotype/variation: ICMV-TRF2","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658448/suppl/GSM4658448_4_JG_4.CEL.gz","53617","IMR90","7","ICMV-TRF2","p12"
"GSM4658449","ICMV-TRF2 - 2","GSM4658449","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","ICMV-TRF2","Homo sapiens","cell line: IMR90","genotype/variation: ICMV-TRF2","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658449/suppl/GSM4658449_5_JG_5.CEL.gz","53617","IMR90","7","ICMV-TRF2","p12"
"GSM4658450","ICMV-TRF2 - 3","GSM4658450","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","ICMV-TRF2","Homo sapiens","cell line: IMR90","genotype/variation: ICMV-TRF2","passage: p12","days after doxycycline treatment: 7","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658450/suppl/GSM4658450_6_JG_6.CEL.gz","53617","IMR90","7","ICMV-TRF2","p12"
"GSM4658451","Young 1","GSM4658451","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","young passge (p10) IMR90","Homo sapiens","cell line: IMR90","passage: p10","","","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658451/suppl/GSM4658451_10_JG_19.CEL.gz","53617","IMR90",NA,NA,"p10"
"GSM4658452","Young 2","GSM4658452","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","young passge (p10) IMR90","Homo sapiens","cell line: IMR90","passage: p10","","","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658452/suppl/GSM4658452_11_JG_20.CEL.gz","53617","IMR90",NA,NA,"p10"
"GSM4658453","Young 3","GSM4658453","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","young passge (p10) IMR90","Homo sapiens","cell line: IMR90","passage: p10","","","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658453/suppl/GSM4658453_12_JG_21.CEL.gz","53617","IMR90",NA,NA,"p10"
"GSM4658454","Old 1","GSM4658454","Public on Feb 12 2021","Jul 07 2020","Feb 13 2021","RNA","1","late passage  (p24) IMR90","Homo sapiens","cell line: IMR90","passage: p24","","","To induce TRF2dMdB, both cell lines were treated with 1uG/ml of doxycyline","Inducible CMV-Vector and CMV-TRF2dBdM were grown in DMEM aupplemented with 10%  tetracycline free FBS. Media was changed at day 4","total RNA","RNA was extracted using Qiagen RNeasy Mini kit, using Qiashredder for lysate homogenization.","biotin","Biotinylated cRNA were prepared from 500 ng total RNA according to theThe Ambion iii ® WT Expression Kit Protocol For Affymetrix® GeneChip® Whole Transcript (WT) Expression Arrays protocol in conjunction with the Affymetrix® GeneChip® WT Terminal Labeling Kit.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 17 hr at 45C on Human Gene 1.0 ST arrays. GeneChips were washed and stained in the Affymetrix GeneChip® Fluidics Station 450.","GeneChips were scanned using the GeneChip® Scanner 3000 7G.","Microarray data processing and analysis was carried out at EMBL. All analyses were carried out in R (v.2.13.0). Microarray data were normalized using Robust Multichip Average (RMA) and differentially expressed genes were identified using Linear Models for MicroArrays (LIMMA). A cut-off of a Benjamini-Hochberg false discovery rate (BH) <0.05 was used to identify significant genes.","GPL16686","LMS,,Bioinformatics Core","lms_bioinformatics@imperial.ac.uk","Bioinformatics Core","MRC London Institute of Medical Sciences","Hammersmith Hospital Campus, Du Cane Road","London","W12 0NN","United Kingdom","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4658nnn/GSM4658454/suppl/GSM4658454_13_JG_22.CEL.gz","53617","IMR90",NA,NA,"p24"
