Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"RFX8"	"20.0"	"ARCHS4 Coexpression,39;GTEx Coexpression,1"	"ARHGAP11A,PRDM8,NNMT,CXCL8,TNFAIP6,KIF14,NCAPG,LTBP2,KIF11,FOXM1,MEDAG,SNAPC1,NFIL3,ADGRA2,DSEL,CYTOR,EPG5,TK1,LGALS9,DLGAP5,LINC01204,PRRX1,GPR1,PCOLCE,IRAK3,PSG2,INHBA,DKK1,NDC80,GAS6-DT,PSG9,TMEM158,LATS2,PSG5,PAPPA,COL6A2,TMEM119,PTX3,KIF20A,ADA,CD44"
"gene_set_query"	"2"	"SNAI1"	"22.67"	"ARCHS4 Coexpression,29;Enrichr Queries,10;GTEx Coexpression,29"	"CXCL8,TNFAIP6,TNC,TNFAIP2,PTPRM,TNFAIP3,LRRC32,TSKU,MEDAG,FADS3,RGS2,GLIPR2,DPYSL3,CD36,SOX4,TGM2,PDGFRA,TMEM255B,BGN,PCOLCE,HIC1,PROCR,SLC7A5,VCAN,SLFN11,LATS2,COL6A2,DDIT4,RFPL4AL1,RNF122,CD44,HBEGF,NNMT,C1R,FBLN2,ZFP36L2,ADAMTS15,NFIL3,OLFML3,FAM241A,STOM,EGR1,GADD45B,PRRX1,FZD4,GDF15,PLK2,MCAM,INHBA,SMAD7,SULF2,NFKBIA,NR4A2,CXCL10,MFAP4,TCN2,ID1,TMEM119,ID3,PTX3"
"gene_set_query"	"3"	"TWIST2"	"25.0"	"ARCHS4 Coexpression,4;GTEx Coexpression,46"	"COL15A1,NNMT,C1R,TNC,FBLN1,LTBP2,LRRC32,FGF2,FBLN2,MEDAG,SNAPC1,OLFML3,ADGRA2,DSEL,CYTOR,BDKRB2,IGFBP6,WNT2,LINC01204,PDGFRA,PRRX1,CRIM1,GPR1,PCOLCE,DKK1,GAS6-DT,MFAP4,PSG5,PSG4,PAPPA,COL6A2,TMEM119,PTX3,FAT4,ALPK2"
"gene_set_query"	"4"	"TCF21"	"26.75"	"Literature ChIP-seq,23;ARCHS4 Coexpression,6;Enrichr Queries,65;GTEx Coexpression,13"	"SAMD9L,KLHL38,TNC,FAIM2,GXYLT2,OLFML2A,PVR,TSKU,NYNRIN,FADS3,RGS2,RASSF2,ADGRA2,ANPEP,SACS,HOXA5,TGM2,PDGFRA,POSTN,DAPK1,PCOLCE,NEAT1,HIC1,DISP1,SYTL2,CPED1,SLFN11,PAPPA,DDIT3,DDIT4,RNF122,RASL12,NNMT,UBA7,INSIG1,FBLN1,LTBP2,FBLN2,PPL,ZFP36L2,DPP4,ADAMTS15,SCUBE3,DSEL,IGFBP6,WNT2,PLTP,FZD1,EGR1,GADD45B,INHBA,IGF2R,NFKBIA,CXCL10,ID1,TMEM119,ID3,DCHS1,FAT4,CYP2B7P,ADA,TNFAIP2,TNFAIP3,LDB2,LRRC32,CTSS,SH3PXD2B,GSG1,BDKRB2,CD36,TEAD2,SULT1C4,TMEM255B,SLC2A13,BGN,TERF2,DDB2,MN1,VCAN,LMBRD2,NAV3,GAN,COL6A2,PTMA,PLEKHH2,COL15A1,SLC43A2,C1R,FGL2,LRRC17,PTGS1,RELN,OLFML3,SCN7A,STOM,MICA,RUNX1T1,IL32,PRRX1,GDF15,TAF13,IL34,MEIS2,PLXDC1,SULF2,MFAP4,TPPP3,PDE10A,SNTB1,MEGF9"
"gene_set_query"	"5"	"CENPA"	"28.5"	"ARCHS4 Coexpression,51;GTEx Coexpression,6"	"ARHGAP11A,PRIM1,KIF14,NCAPG,KIF11,FOXM1,MKI67,LMNB1,CCNB2,PCLAF,NUSAP1,PBK,LPXN,MYBL2,TK1,BUB1,DLGAP5,TMPO,WDR76,NDC80,HAUS1,DEPDC1B,CDK1,KIF20A,EZH2"
"gene_set_query"	"6"	"MKX"	"31.0"	"ARCHS4 Coexpression,13;Enrichr Queries,22;GTEx Coexpression,58"	"PRDM8,CNTNAP1,TMEM200B,TNC,SIX1,VLDLR,FGF2,RGS2,CCND2-AS1,C1QTNF7,ADGRA2,DPYSL3,BDKRB2,TGM2,PDGFRA,POSTN,SCARA3,TNFRSF19,PCOLCE,DKK1,PDGFRL,SYTL2,CPED1,GAS6-DT,MN1,VCAN,LATS2,PSG5,COL6A2,DDIT4,RARB,ALPK2,RASL12,COL15A1,C1R,NTN4,FBLN1,LTBP2,FBLN2,DPP4,DSEL,IGFBP6,GPC6,EGR1,PRRX1,NEGR1,GDF15,MCAM,PLK2,CRIM1,INHBA,MEIS2,DHRS3,SULF2,NR4A2,CXCL10,OSTM1,ID1,TMEM119,ID3,PTX3,FAT4"
"gene_set_query"	"7"	"TWIST1"	"34.0"	"ARCHS4 Coexpression,1;Enrichr Queries,3;ReMap ChIP-seq,37;GTEx Coexpression,95"	"CNTNAP1,IFITM1,TNFAIP6,TNFAIP2,TNC,SIX1,SH3RF1,MEDAG,RGS2,SNAPC1,ADGRA2,ANPEP,DPYSL3,BDKRB2,NEFL,TK1,SOX4,SREBF1,PDGFRA,POSTN,BGN,PCOLCE,SOX11,RHOF,NEAT1,DKK1,JMJD8,GAS6-DT,MN1,VCAN,PSG5,PAPPA,COL6A2,DDIT4,ITGA7,PTMA,CD44,ISYNA1,COL15A1,NNMT,UBA7,C1R,SDC2,LRRC17,CRIP2,FBLN1,LTBP2,SNHG19,FBLN2,ZFP36L2,OLFML3,DSEL,IGFBP6,LINC01204,RUNX1T1,FZD1,EGR1,PRRX1,GADD45B,GDF15,PLK2,TPBG,CRIM1,GPR1,INHBA,L1CAM,KAZALD1,MEIS2,PLXDC1,MIR612,SULF2,SMAD7,NR4A2,MFAP4,CXCL10,MEX3A,INAFM2,ID1,TMEM119,ID3,PTX3,DCHS1,MIR1244-1,RCOR2"
"gene_set_query"	"8"	"PRRX2"	"38.0"	"ARCHS4 Coexpression,5;Enrichr Queries,32;GTEx Coexpression,77"	"IFITM1,TNFAIP6,TNC,SIX1,FGF2,MEDAG,ADGRA2,GLIPR2,ANPEP,DPYSL3,BDKRB2,CPXM1,TGM2,PDGFRA,POSTN,SCARA3,BGN,PCOLCE,DKK1,NAALADL2,PDGFRL,GAS6-DT,VCAN,PSG5,COL6A2,PAPPA,ALPK2,CD44,COL15A1,NNMT,C1R,LTBP2,FBLN1,FBLN2,OLFML3,DSEL,IGFBP6,WNT2,EGR1,PRRX1,GDF15,CRIM1,NBEAL1,INHBA,SMAD7,SULF2,CXCL10,MFAP4,FGF14,ID1,TMEM119,ID3,PTX3,FAT4"
"gene_set_query"	"9"	"BNC2"	"38.67"	"ARCHS4 Coexpression,7;Enrichr Queries,57;GTEx Coexpression,52"	"TMEM200B,TNC,SIX1,GXYLT2,OLFML2A,MYPN,SYNE1,RGS2,ADGRA2,BOC,DPYSL3,PDGFRA,POSTN,BGN,TET1,MITF,PCOLCE,IL17RD,PDGFRL,MN1,VCAN,LATS2,NAV3,COL6A2,PAPPA,ALPK2,CD44,PLEKHH2,COL15A1,NNMT,LRRC17,GLIS3,FBLN1,LTBP2,LPAR4,FBLN2,THBS3,OLFML3,DSEL,SCN7A,DMD,IGFBP6,GPC6,RUNX1T1,EGR1,PRRX1,NEGR1,CRIM1,INHBA,MEIS2,PBX1,SULF2,CXCL10,MFAP4,MEX3A,DCHS1,FAT4"
"gene_set_query"	"10"	"OSR2"	"39.67"	"ARCHS4 Coexpression,21;Enrichr Queries,4;GTEx Coexpression,94"	"IFITM1,TMEM200B,TNFAIP6,SH2D4A,TNC,SIX1,TSKU,MEDAG,RGS2,SCML1,ADGRA2,SH3PXD2B,PBK,BDKRB2,CPXM1,TGM2,PDGFRA,POSTN,SCARA3,BGN,MITF,PCOLCE,IL17RD,DKK1,PDGFRL,VCAN,LATS2,PSG5,COL6A2,DDIT4,ALPK2,PLEKHH2,COL15A1,C1R,LRRC17,FBLN1,LTBP2,FBLN2,THBS3,DPP4,OLFML3,PDGFD,IGFBP6,NPTX1,WNT2,EGR1,PRRX1,GADD45B,GDF15,PLK2,INHBA,MEIS2,PBX1,SULF2,NR4A2,CXCL10,MFAP4,ID1,TMEM119,ID3,DCHS1,PTX3"
