Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"TWIST2"	"10.5"	"ARCHS4 Coexpression,7;GTEx Coexpression,14"	"CPM,LINC01111,TNC,XYLT1,LRRC32,FGF2,EDA2R,MEDAG,ADAMTS5,SNAPC1,ADGRA2,ADAMTS1,BDKRB2,DIRC1,ADAMTS6,PDGFRA,PTGIS,OR1J4,PSG1,PCOLCE,DKK1,PRSS12,RCN3,GAS6-DT,PSG5,PSG4,PAPPA,COL6A2,ADAM12,ALPK2,MXRA5,CEMIP,COL15A1,NNMT,C1R,FBLN1,LTBP2,THBS2,PCDH18,FBLN2,OLFML3,DSEL,CYTOR,HAS2,FAM180A,IGFBP6,WNT2,LINC01204,PRRX1,CRIM1,GPR1,SULF1,GDF5,SOD3,MFAP5,MFAP4,CXCL12,MIR221,MFAP2,ITGA11,TMEM119,ITGBL1,PTX3,FAT4,KCNK2,ULBP1"
"gene_set_query"	"2"	"TBX18"	"12.33"	"ARCHS4 Coexpression,14;Enrichr Queries,13;GTEx Coexpression,10"	"PRDM6,PLCE1-AS1,GPR63,TNC,FGF2,PVR,STS,CCND2,SALL1,ADGRA2,DPYSL3,PIEZO2,CYP1B1,PDGFRA,SCARA3,POSTN,SERPINF1,PCOLCE,SOX11,CPED1,COL4A1,PAPPA,ADAM12,ALPK2,MXRA5,RASL12,CEMIP,ENDOD1,LTBP2,FBLN1,PCDH18,FBLN2,DSEL,IGFBP7,FZD1,EGR1,JAG1,VCAM1,FOXF2,MCAM,CRIM1,NBEAL1,INHBA,SMAD7,NR4A2,CXCL10,FGF14,CXCL12,OGN,ITGA11,ITGBL1,FAT4,CNTN4,PCDHB8,NRP1,SIX1,LRRC32,PRSS23,ADAMTS5,C1QTNF7,ADAMTS1,EDIL3,ADAMTS6,PTGIS,ITGA1,BGN,GFRA1,NAALADL2,RCN3,MN1,VCAN,ZEB2,LATS2,COL6A2,ITGA8,LINC01139,FIBIN,CD44,FOXC2,FOXC1,C1R,AMIGO2,NTN4,PTGS2,THBS2,FRZB,OLFML3,LRIG1,HAS2,LRIG3,GPC6,RUNX1T1,PRRX1,ANGPT1,PCDH9,SULF1,SOD3,MEIS2,PLXDC1,SULF2,MFAP5,NFIB,MFAP2,PTX3,FMOD"
"gene_set_query"	"3"	"FOXS1"	"16.0"	"ARCHS4 Coexpression,36;Enrichr Queries,3;GTEx Coexpression,9"	"IFITM1,PRDM6,TNC,OLFML2A,ADGRA2,CYP1B1,VSTM4,TGM2,PDGFRA,GUCY1A2,POSTN,SERPINF1,IGFBP2,PCOLCE,GEM,HIC1,CPED1,PROCR,COL4A1,DDIT4,ADAM12,SERPING1,RASL12,SEMA7A,NNMT,ENDOD1,LTBP2,PCDH18,FBLN2,COX7A1,FAM180A,IGFBP7,IGFBP6,FZD1,EGR1,JAG1,VCAM1,GADD45B,FOXF2,MCAM,PLK2,CRIM1,NBEAL1,INHBA,GNG11,SMAD7,SDK1,CXCL10,FGF14,CXCL12,OGN,ITGA11,ID1,TMEM119,ITGBL1,ID3,CNTN4,PCDHB8,NRP1,TNFAIP6,ITGB3,TNFAIP2,WFDC1,LRRC32,PEAR1,PRSS23,ADAMTS5,CASP12,C1QTNF7,ADAMTS1,GLIPR2,ANKRD1,EDN1,PTGIS,ITGA1,BGN,ABCC9,RCN3,MN1,VCAN,COL6A2,RHOJ,ITGA8,LINC01139,CD44,HBEGF,FOXC2,FOXC1,COL15A1,AMIGO2,NTN4,CRIP2,THBS2,PTGS2,CYGB,FRZB,OLFML3,LRIG1,HAS2,GBP2,GPC6,PRRX1,GDF15,SULF1,SOD3,PLXDC1,MFAP5,MFAP4,MFAP2,ACKR3,PTX3,FMOD"
"gene_set_query"	"4"	"HEYL"	"16.0"	"ARCHS4 Coexpression,8;Enrichr Queries,35;GTEx Coexpression,5"	"PRDM6,JADE1,TNC,GXYLT2,OLFML2A,CCDC102B,FADS3,CCND2,ADGRA2,DPYSL3,PABPC4L,CYP1B1,VSTM4,MYOZ2,TGM2,PDGFRA,GUCY1A2,SCARA3,POSTN,SERPINF1,IGFBP2,PCOLCE,TC2N,JMJD8,GEM,HIC1,CPED1,BCAM,FNDC1,COL4A1,DDIT4,ADAM12,SERPING1,RASL12,HACD1,PARM1,NNMT,LTBP2,FBLN1,PCDH18,FBLN2,COX7A1,IGFBP7,PLTP,EGR1,JAG1,VCAM1,MCAM,NBEAL1,INHBA,SMAD7,SDK1,CXCL10,CXCL12,OGN,ITGA11,ID1,TMEM119,ID3,PCDHB5,ITGBL1,CNTN4,PCDHB8,NRP1,SIX1,PEAR1,LRRC32,PRSS23,ADAMTS5,ADAMTS1,ANKRD1,PGM5,PTGIS,ITGA1,BGN,MN1,VCAN,ZEB2,COL6A2,RHOJ,ITGA8,ITGA7,RBM24,CD44,TRIM55,FOXC2,FOXC1,COL15A1,C1R,AMIGO2,LRRC17,CRIP2,THBS2,THSD1,CYGB,FRZB,OLFML3,LRIG1,PRRX1,PCDHB13,SULF1,SOD3,PLXDC1,DHRS3,SULF2,MFAP5,MFAP4,FABP3,INAFM2,CCDC8,MFAP2,FMOD"
"gene_set_query"	"5"	"TCF21"	"16.5"	"Literature ChIP-seq,31;ARCHS4 Coexpression,1;Enrichr Queries,30;GTEx Coexpression,4"	"CDA,RPLP0P2,CCDC102B,TSKU,NYNRIN,RASSF2,ADGRA2,ANPEP,PIEZO2,TNFSF10,CYP1B1,NCKAP5,MYOZ2,HOXA5,DAPK1,SERPINF1,SYTL2,CPED1,PAPPA,DDIT3,DDIT4,RBP1,SERPING1,RNF122,CRABP2,PCDH18,PPL,ADAMTS15,A2M,PAG1,FZD1,EGR1,JAG1,FOXF2,GADD45B,GNG11,TNFSF4,ID1,ID3,ITGBL1,DCHS1,FAT4,SERPINI1,CYP2B7P,ADA,NRP1,WFDC1,LRRC32,PEAR1,PRSS23,CTSS,GSG1,SH3PXD2B,OLR1,CD36,DIRC1,TEAD2,SULT1C4,EDN1,ANXA3,SLC2A13,DENND2A,BGN,VWA5A,TERF2,PRSS12,DDB2,MN1,ZEB2,TMSB15A,GAN,RHOJ,FIBIN,PTMA,SLC43A2,LRRC17,PTGS2,PTGS1,RELN,FRZB,OLFML3,HSD17B2,MICA,RUNX1T1,IL32,GDF15,IL34,FMO2,SULF1,PLXDC1,SULF2,TPPP3,LRRN4CL,FMOD,MEGF9,SAMD9L,PRDM6,KLHL38,TNC,LOXL4,FAIM2,GXYLT2,OLFML2A,PVR,FADS3,RGS2,CCND2,ENPP2,SACS,ENPP1,TGM2,PDGFRA,POSTN,HGF,IGFBP2,PCOLCE,NEAT1,KCTD4,HIC1,GEM,DISP1,SLFN11,COL4A1,ADAM12,STEAP2,RASL12,CEMIP,NNMT,UBA7,INSIG1,FBLN1,LTBP2,FBLN2,ZFP36L2,DPP4,SCUBE3,ARHGAP20,DSEL,IGFBP7,IGFBP6,NDP,WNT2,PLTP,ANKRD29,VCAM1,INHBA,IGF2R,NFKBIA,CXCL10,RGCC,CXCL12,BAMBI,OGN,TMEM119,CRYBG1,ITGB3,TNFAIP2,TNFAIP3,LDB2,HK2,TMEM100,HEPH,ADAMTS1,BDKRB2,ITGB8,PGM5,SFTA1P,PTGIS,TMEM255B,ITGA1,VCAN,LMBRD2,NAV3,COL6A2,ITGA8,TRIM55,PRTFDC1,PLEKHH2,COL15A1,CCDC68,C1R,FGL2,THBS2,CYGB,SCN7A,STOM,LRIG3,GBP4,KCNJ2,PRRX1,TRPA1,TAF13,TBX4,SOD3,MEIS2,MFAP4,PDE10A,MFAP2,SNTB1"
"gene_set_query"	"6"	"PRRX2"	"17.0"	"ARCHS4 Coexpression,10;Enrichr Queries,12;GTEx Coexpression,29"	"IFITM1,PRDM6,TNC,FGF2,ADGRA2,ANPEP,DPYSL3,CYP1B1,TGM2,PDGFRA,SCARA3,POSTN,SERPINF1,IGFBP2,PCOLCE,DKK1,PDGFRL,GEM,PSG5,COL4A1,PAPPA,ADAM12,SERPING1,ALPK2,MXRA5,CEMIP,NNMT,CRABP2,LTBP2,FBLN1,FBLN2,PCDH18,DSEL,FAM180A,IGFBP7,IGFBP6,WNT2,EGR1,JAG1,VCAM1,CRIM1,NBEAL1,INHBA,GNG11,SMAD7,CXCL10,BMP2,FGF14,CXCL12,ITGA11,ID1,TMEM119,ITGBL1,ID3,FAT4,NRP1,TNFAIP6,ITGB3,SIX1,PRSS23,EDA2R,MEDAG,MDK,ADAMTS1,GLIPR2,ANKRD1,BDKRB2,CPXM1,PTGIS,BGN,NAALADL2,RCN3,GAS6-DT,VCAN,COL6A2,ITGA8,CD44,FOXC2,FOXC1,COL15A1,C1R,THBS2,PTGS2,FRZB,OLFML3,LRIG1,HAS2,GBP2,PRRX1,ANGPT1,GDF15,SULF1,SOD3,SULF2,MFAP5,MFAP4,MFAP2,ACKR3,PTX3,FMOD,KCNK2"
"gene_set_query"	"7"	"EBF2"	"19.5"	"ARCHS4 Coexpression,17;GTEx Coexpression,22"	"NRP1,TENM4,PTPRM,FMN2,PEAR1,LCTL,RND2,CHRDL1,FADS3,DACH1,DPYSL3,ITGB8,CYP1B1,NEFM,CD36,TIMP4,DCC,SERPINF1,CACNA2D1,LRRC49,DENND2A,TET1,SOX11,FRMD4A,GFRA1,IL17RD,PDGFRL,PROCR,MN1,GAP43,SLFN11,LATS2,DOK5,TMSB15A,RHOJ,FIBIN,ITGA7,SERPING1,COL15A1,CRMP1,TMTC2,FBLN2,CYGB,JAKMIP2,THBS3,DLL4,ADAMTS15,STOX2,MAP2,FAM241A,SCN7A,IGFBP6,RUNX1T1,FZD1,PRRX1,FZD4,EYA2,HSPA12A,GNG11,PBX1,MFAP5,SDK1,CXCL12,VANGL2,PCDHB2,NFIB,LRRN4CL,MAB21L1,ACKR3,DCHS1,LRRN1,ADGRL4,RCOR2,TMEM35A,ADGRL3"
"gene_set_query"	"8"	"AEBP1"	"22.0"	"ARCHS4 Coexpression,38;GTEx Coexpression,6"	"ITGB3,PRDM6,TNC,PTPRM,LRRC32,PRSS23,MEDAG,CASP12,C1QTNF7,ADGRA2,SCARA3,POSTN,PTGIS,IGFBP2,BGN,PCOLCE,GEM,CPED1,RCN3,VCAN,FNDC1,COL6A2,ITGA8,SERPING1,MXRA5,FOXC2,RASL12,FOXC1,COL15A1,CEMIP,C1R,LRRC17,LTBP2,FBLN1,THBS2,FBLN2,CYGB,THBS3,FRZB,PDGFD,FAM180A,CYTL1,IGFBP7,GPC6,JAG1,PRRX1,MCAM,CRIM1,NBEAL1,PCDHB13,INHBA,SULF1,SOD3,SMAD7,MFAP4,FGF14,OGN,ITGA11,MFAP2,TMEM119,ITGBL1,DCHS1,CNTN4,FMOD,PCDHB8"
"gene_set_query"	"9"	"OSR1"	"24.5"	"ARCHS4 Coexpression,18;GTEx Coexpression,31"	"ITGB3,PRDM6,TCF21,SIX1,PRSS23,MEDAG,C1QTNF7,ADGRA2,ADAMTS1,DPYSL3,BDKRB2,HOXA2,MYOCD,PTGIS,ITGA1,BGN,PCOLCE,GEM,CPED1,RCN3,VCAN,LATS2,COL6A2,ITGA8,MXRA5,FOXC2,RASL12,FOXC1,CEMIP,C1R,FGL2,LRRC17,LTBP2,FBLN1,THBS2,PCDH18,FBLN2,THBS3,ADAMTS15,FRZB,FAM180A,IGFBP7,IGFBP6,GPC6,WNT2,FZD1,PRRX1,MCAM,CRIM1,SULF1,SOD3,MFAP5,MFAP4,OGN,ITGA11,MFAP2,TMEM119,ITGBL1,FAT4,CNTN4,FMOD"
"gene_set_query"	"10"	"MEOX2"	"26.0"	"ARCHS4 Coexpression,6;Enrichr Queries,7;GTEx Coexpression,65"	"PRDM6,TNC,LCTL,FADS3,CCND2,ADGRA2,DPYSL3,ENPP2,CYP1B1,IL13RA2,PDGFRA,POSTN,SERPINF1,PCOLCE,ADGRA3,SYTL5,PDGFRL,GEM,CPED1,OLFM2,SLFN11,FNDC1,COL4A1,ADAM12,SERPING1,MXRA5,TMTC2,FBLN1,PCDH18,FBLN2,ADAMTS15,PDGFD,IGFBP7,IGFBP6,FZD1,ANKRD29,EGR1,VCAM1,FZD4,MCAM,CRIM1,INHBA,HSPA12A,GNG11,NR4A2,CXCL10,BMP2,CXCL12,OGN,ITGBL1,DCHS1,FAT4,NRP1,SIX1,LDB2,PEAR1,LRRC32,CHRDL1,TMEM100,ADAMTS5,ADAMTS1,CD36,ADAMTS9,TIMP4,PLEKHG1,PTGIS,TNFRSF19,ITGA1,BGN,TET1,ABCC9,IL17RD,VCAN,ZEB2,COL6A2,RHOJ,KIT,FIBIN,ITGA7,COL15A1,FOXC1,LRRC17,PTGS2,THBS2,THSD1,CYGB,THBS3,DLL4,RELN,FRZB,OLFML3,FAM241A,LRIG1,SCN7A,RUNX1T1,PRRX1,ANGPT1,FMO2,SULF1,SOD3,MEIS2,MFAP5,MFAP4,FABP4,NFIB,ACKR3,PTX3,ADGRL4,FMOD"
